holding_id,holding_type,mainland_zanzibar,region,stratum_id,ea_id,weight,s2q10__1,s2q10__2,s2q10__3,s2q10__4,s2q10__5,s2q10__6,s2q10__7,s20q08,s20q09
60-12-66-29,Household,"Mainland, Tanzania",Iringa,789,2107,505,No,No,No,No,No,No,Yes,No,
60-15-35-72,Household,"Mainland, Tanzania",Mwanza,114,4339,216,No,No,No,No,No,No,Yes,,
60-15-65-05,Household,Zanzibar,Mjini Magharibi,533,2079,210,No,No,No,No,No,No,Yes,,
60-16-88-79,Household,"Mainland, Tanzania",Tanga,657,3203,291,No,No,No,No,No,No,Yes,No,
60-17-97-81,,"Mainland, Tanzania",,,3266,,,,,,,,,No,
60-20-79-81,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
60-23-96-11,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
60-24-10-56,Household,"Mainland, Tanzania",Lindi,271,9814,635,No,No,No,No,No,No,Yes,,
60-30-31-12,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
60-32-75-09,Household,Zanzibar,Mjini Magharibi,340,5221,170,No,No,No,No,No,Yes,No,,
60-33-23-35,Household,"Mainland, Tanzania",Dar es Salaam,153,8391,444,No,No,No,No,No,No,Yes,,
60-34-27-73,Household,"Mainland, Tanzania",Morogoro,735,5762,563,No,No,No,No,No,No,Yes,,
